UG,Programme,Faculty,Fulltime,Parttime,Evening,OtherRequirements,Interested,WorkingWith,Careers,JobTitles,ProgrammeDescription,FindOutMore
CERTIFICATE,Geographic Land Information Systems, Engineering,1,,,,,,,,,
BACHELOR OF SCIENCE (BSc ENGINEERING):,Chemical & Process Engineering, Engineering,1,,,,,,"Chemical & Process, Manufacturing, Environmental
Industries; Petroleum, Food Processing, Consultancy
Agricultural/Chemical Companies; Pharmaceuticals
Companies; Academia; Research & Development","Process Engineer; Project Engineer
Environmental, Health & Safety Consul",,
BACHELOR OF SCIENCE (BSc ENGINEERING):,Civil Engineering, Engineering,1,,,,,,"Government; Construction Companies; Engineering and
Architectural Firms; Public Utility Companies; Academia;
Consultancy","Structural Engineer; Resident Engineer; Site
Engineer; Highway Engineer",,
BACHELOR OF SCIENCE (BSc ENGINEERING):,Civil with Environmental Engineering, Engineering,1,,,,,,"Government; Construction Companies; Engineering and
Architectural Firms; Public Utility Companies; Academia;
Consultancy","Structural Engineer; Resident Engineer; Site
Engineer; Highway Engineer",,
BACHELOR OF SCIENCE (BSc ENGINEERING):,Electrical & Computer Engineering, Engineering,1,,,,,,"Computer, Chemical & Process Companies;
Telecommunications Industries; Energy Sector; Power Utility
Companies; Air Conditioning Industry","Electronics Engineer; Software Engineer;
Electrical & Instrumentation Engineer;
Telecommunications Engineer",,
BACHELOR OF SCIENCE (BSc ENGINEERING):,Industrial Engineering, Engineering,1,,,,,,"Chemical Industry; Manufacturing Companies; Public Utility
Companies; Business Management Process Engineer/
Manager","Assembly Line Engineer; Post Market
Compliance/Surveillance Manager",,
BACHELOR OF SCIENCE (BSc ENGINEERING):,Mechanical Engineering, Engineering,1,,,,,,"Manufacturing Companies; Consultancy; Academia; Chemical
& Process industries; Air Conditioning Industry; Energy
Industry","Project Engineer; Mechanical Engineer;
Engineer; Management Trainee/Engineer;
Consultant",,
BACHELOR OF SCIENCE (BSc ENGINEERING):,Mechanical Engineering with a Minor in Biosystems, Engineering,1,,,,,,"Government; Environmental Industries; Agricultural/ Process
Industries; Academia; Consultancy; Natural Resource
Development; Sustainable Development","Agricultural Engineer; Food Engineer;
Drainage & Irrigation Engineer; Environmental
Engineer",,
BACHELOR OF SCIENCE (BSc):,Petroleum Geoscience, Engineering,1,,,,,,"Oil and Natural Gas industries; Government; Service
Companies To The Hydrocarbon Industry; Academia;
Consultancy","Geoscientist; Geologist; Geophysicist;
Geological Engineer; Environmental; Health &
Safety Consultant",,
BACHELOR OF SCIENCE (BSc):,Geomatics (formerly Surveying & Land Information), Engineering,1,,,,,,"Land & Hydrographic Survey Industry; Consultancy;
Geospatial Data Acquisition; Management and Analysis;
Property Management; Academia","Surveyor; Cadastral Surveyor; Hydrographic
Surveyor; Land Surveyor with specialisations
in Engineering Surveying; Cadastral
Surveying; Topographic Surveying; GIS
Specialist; Geoscientist",,
